Year   sum_PCP  avg_TAVG  avg_PDSI
1990     49.94      53.6      1.92
1991     36.12      53.7     -1.08
1992     35.81      51.9       .08
1993     51.18      50.9      3.76
1994     35.51      52.0      -.35
1995     38.91      51.6      -.16
1996     38.82      50.1       .63
1997     35.10      51.0      -.18
1998     44.49      55.2      1.40
1999     35.71      53.5       .08
2000     39.77      52.2      -.01
2001     39.65      53.4       .67
2002     39.06      53.2       .35
2003     37.78      51.7      -.12
2004     39.97      52.6       .79
2005     31.43      53.7     -1.89
2006     40.64      54.0      -.32
2007     36.69      53.7      -.54
2008     50.17      50.9      2.98
2009     50.96      51.4      4.71
2010     40.68      52.9      3.78
2011     46.10      53.1      1.27
2012     30.11      55.8     -2.35
2013     42.49      51.1       .42
2014     41.29      49.5      1.09
2015     48.80      52.9      2.73
2016     39.75      54.7      2.75
2017     37.80      54.4       .46
2018     45.79      52.5      1.60
2019     49.87      52.1      4.34
